"m.rt","m.st","m.lf","RmTm","SmTm","LmTm","tot","m.to","h.t","log_ht","leaf_habit","myc_group","Temp","Prec","study_species","Study","SppName","family","order"
0.00283,0.00541,0.00456,0.22109375,0.42265625,0.35625,0.0128,0.0128,0.82,-0.198450938723838,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
0.00363,0.00628,0.00278,0.286052009456265,0.494877856579984,0.219070133963751,0.01269,0.01269,0.86,-0.150822889734584,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
0.00264,0.00705,0.00616,0.166561514195584,0.444794952681388,0.388643533123028,0.01585,0.01585,0.97,-0.0304592074847086,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
0.0027,0.00685,0.00749,0.158450704225352,0.401995305164319,0.439553990610329,0.01704,0.01704,0.97,-0.0304592074847086,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
0.0028,0.00743,0.00839,0.150375939849624,0.399033297529538,0.450590762620838,0.01862,0.01862,1.14,0.131028262406404,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
0.00459,0.0125,0.00865,0.178321678321678,0.485625485625486,0.336052836052836,0.02574,0.02574,1.17,0.157003748809665,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
0.00466,0.0145,0.0124,0.14765525982256,0.459442332065906,0.392902408111534,0.03156,0.03156,1.22,0.198850858745165,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
0.00317,0.0105,0.00725,0.151529636711281,0.501912045889101,0.346558317399618,0.02092,0.02092,1.26,0.231111720963387,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
0.00501,0.014,0.00708,0.192027596780376,0.536604062859333,0.271368340360291,0.02609,0.02609,1.27,0.2390169004705,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
0.00681,0.0178,0.00921,0.201360141927853,0.526315789473684,0.272324068598462,0.03382,0.03382,1.43,0.357674444271816,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
0.00268,0.00443,0.00429,0.235087719298246,0.38859649122807,0.376315789473684,0.0114,0.0114,0.54,-0.616186139423817,"evergreen","AM",26.9874992370605,3124,"Aiba2005_Shorea_falciferoides","Aiba2005","Shorea_falciferoides","Dipterocarpaceae","Malvales"
0.00357,0.00523,0.00464,0.265625,0.389136904761905,0.345238095238095,0.01344,0.01344,0.54,-0.616186139423817,"evergreen","AM",26.9874992370605,3124,"Aiba2005_Shorea_falciferoides","Aiba2005","Shorea_falciferoides","Dipterocarpaceae","Malvales"
